AptName,logFC,AveExpr,t,P.Value,adj.P.Val,B,Target,TargetFullName,EntrezGeneSymbol,EntrezGeneID,UniProt,Dilution,direction,sig_nom,sig_fdr
seq.17785.11,0.050658372956752504,10.700233552086921,0.376339667690211,0.7125371383992214,0.8747112458753815,-5.018746424801456,RCL,2'-deoxynucleoside 5'-phosphate N-hydrolase 1,DNPH1,10591,O43598,20,Arterial > Venous,FALSE,FALSE
seq.2806.49,0.030955329618698,7.40686275618753,0.3761331391843565,0.7126871066344702,0.8747518038937607,-5.018796537182253,Activin RIB,Activin receptor type-1B,ACVR1B,91,P36896,20,Arterial > Venous,FALSE,FALSE
seq.14122.132,0.015027400357801233,9.274509282657641,0.3755283781957241,0.7130435621390042,0.874882988269684,-5.018983724824655,ZNRF3,E3 ubiquitin-protein ligase ZNRF3,ZNRF3,84133,Q9ULT6,20,Arterial > Venous,FALSE,FALSE
seq.11912.45,-0.02357682727875712,8.586233931451197,-0.37549957553989965,0.7130990308167404,0.874882988269684,-5.018973750417513,Fc_MOUSE,Fc_MOUSE,,,Q99LC4,20,Venous > Arterial,FALSE,FALSE
seq.13465.5,-0.030176454430277087,9.990452536347577,-0.3751846692965187,0.7133592376153337,0.874882988269684,-5.019034544823566,CCP1,Calcipressin-1,RCAN1,1827,P53805,20,Venous > Arterial,FALSE,FALSE
seq.23314.46,0.030494947009526416,7.7244511458033385,0.3751858535776603,0.7133751255040267,0.874882988269684,-5.019026045718438,CC103,Coiled-coil domain-containing protein 103,CCDC103,388389,Q8IW40,20,Arterial > Venous,FALSE,FALSE
seq.4499.21,-0.04202871498920132,11.363936114806153,-0.3750065204614679,0.7135054054472283,0.874882988269684,-5.019069431310257,PDGF-AA,Platelet-derived growth factor subunit A,PDGFA,5154,P04085,20,Venous > Arterial,FALSE,FALSE
seq.13421.17,-0.01892550579884105,8.539324424279288,-0.3748080003423742,0.7135670540572561,0.874882988269684,-5.019157899871763,KISHB,Protein kish-B,TMEM167B,56900,Q9NRX6,20,Venous > Arterial,FALSE,FALSE
seq.11168.3,-0.04427252435693263,8.626739514073794,-0.3748589498715566,0.7136126178881983,0.874882988269684,-5.0191051175686985,MEG10,Multiple epidermal growth factor-like domains protein 10,MEGF10,84466,Q96KG7,20,Venous > Arterial,FALSE,FALSE
seq.3873.51,0.05225137691062907,11.380928341093998,0.37451723961585076,0.7138609001678753,0.8750439774137105,-5.019187699287747,TMA,Thyroid peroxidase,TPO,7173,P07202,20,Arterial > Venous,FALSE,FALSE
seq.23559.10,0.05377323550577539,12.729249761561325,0.37416761222636924,0.7141149699059212,0.8750713245965479,-5.019272118645528,DDRGK,DDRGK domain-containing protein 1,DDRGK1,65992,Q96HY6,20,Arterial > Venous,FALSE,FALSE
