luminex_name,gene_symbol,log2FC_lx,p_value_lx,p_adj_lx,logFC_soma,P.Value_soma,AptName_soma,in_soma,dir_lx,dir_soma,concordant,sig_lx,sig_soma
IL-31,IL31,-0.07184378891519687,0.8752340238797087,0.9984984814300277,0.04018662329328225,0.4836431440647657,seq.10455.196,TRUE,Ven > Art,Art > Ven,FALSE,FALSE,FALSE
SCF,KITLG,-0.02849725843285791,0.9687124153929956,0.9994651904848368,0.21380209833519745,0.20480008813957437,seq.9377.25,TRUE,Ven > Art,Art > Ven,FALSE,FALSE,FALSE
G-CSF(CSF-3),CSF3,-0.1202729245621166,0.10000061807201328,0.464288583905776,-0.3396978029272448,0.11418979455153999,seq.4840.73,TRUE,Ven > Art,Ven > Art,TRUE,FALSE,FALSE
IFNg,IFNG,-0.0689918436293474,0.4101169916790807,0.7015159068194802,0.2194508480591117,0.166769198617808,seq.15346.31,TRUE,Ven > Art,Art > Ven,FALSE,FALSE,FALSE
GM-CSF,CSF2,-0.06896263370537659,1,1,0.05756649683591722,0.48202197926069934,seq.4697.59,TRUE,Ven > Art,Art > Ven,FALSE,FALSE,FALSE
TNFa,TNF,-0.11129561438619394,0.020609595400318828,0.45840265072995556,-0.07184869204425559,0.11443801380387576,seq.5936.53,TRUE,Ven > Art,Ven > Art,TRUE,TRUE,FALSE
HGF,HGF,-0.010912638590853606,0.5562984612747348,0.8609380948299468,-0.2702665278653564,0.015265325088955782,seq.2681.23,TRUE,Ven > Art,Ven > Art,TRUE,FALSE,TRUE
MIP-1b(CCL4),CCL4,0.07115107517918236,0.2895874244268877,0.6247638793671408,NA,NA,NA,FALSE,Art > Ven,NA,FALSE,FALSE,NA
IFNa,IFNA1,-0.12396960987071699,0.3669855718549245,0.6626128380713914,0.05537482399376165,0.32076115543867606,seq.18389.11,TRUE,Ven > Art,Art > Ven,FALSE,FALSE,FALSE
EOTAXIN-3(CCL26),CCL26,-0.02007836136589089,0.9063293908364868,0.9984984814300277,0.28042430743927144,0.2256478655455273,seq.9168.31,TRUE,Ven > Art,Art > Ven,FALSE,FALSE,FALSE
MCP-1(CCL2),CCL2,-0.08893076865802063,0.6101201547975077,0.8621263056921304,-0.1684976848438769,0.0356888015405746,seq.2578.67,TRUE,Ven > Art,Ven > Art,TRUE,FALSE,TRUE
IL-9,IL9,-0.13479913510694183,0.05452053182433361,0.45840265072995556,-0.08922064467089498,0.07636279264035603,seq.5834.18,TRUE,Ven > Art,Ven > Art,TRUE,FALSE,FALSE
MIF,MIF,0.07553249796544487,0.7836523115344085,0.9795653894180106,-0.13246058784178852,0.11082708949940002,seq.5356.2,TRUE,Art > Ven,Ven > Art,FALSE,FALSE,FALSE
TNFb,LTA,-0.09430949605866921,0.3668011993950175,0.6626128380713914,0.06249326447435101,0.573754683914897,seq.4703.87,TRUE,Ven > Art,Art > Ven,FALSE,FALSE,FALSE
