AptName,Spine_vs_Laparoscopic,Spine_vs_HeadNeck,Laparoscopic_vs_HeadNeck,AveExpr,F,P.Value,adj.P.Val,Target,EntrezGeneSymbol
seq.3484.60,-0.03636522999464533,0.019174197073405258,0.05553942706805059,-0.08096917701642337,0.07938624241027259,0.9241111158840138,0.9577938697314843,Angiotensinogen,AGT
seq.8892.14,-0.00940667149445601,-0.14936093608042392,-0.1399542645859679,0.22269293047773178,0.07937440362193265,0.924121929116676,0.9577938697314843,PEAR1,PEAR1
seq.14021.81,0.004201861476989952,0.06523173249641065,0.06102987101942069,-0.006863784888437123,0.0787727023832092,0.924671698311373,0.958225551564854,MED4,MED4
seq.3374.49,0.030036509353819,-0.030142273404566964,-0.060178782758385965,-0.024491798581354123,0.07862843958113118,0.9248035657854365,0.958225551564854,HCK,HCK
seq.15525.294,0.03593789320188162,-0.06669987182196871,-0.10263776502385033,-0.17894062637621197,0.07849812883669413,0.9249226985496337,0.958225551564854,ADH1G,ADH1C
seq.7081.2,-0.2320777892550226,-0.20230514597767163,0.029772643277350963,0.31203288540239527,0.07755575898807848,0.9257847571221662,0.9588274787704453,BT3A1,BTN3A1
seq.5255.22,-0.05740174321893747,0.0010325443498773613,0.05843428756881483,0.02726678114819266,0.07677143214426017,0.9265029450096933,0.9588274787704453,PDE4D,PDE4D
seq.4184.43,-0.047223578115920845,-0.014903231581870902,0.03232034653404994,-0.0550910283791907,0.07665607591635186,0.926608627688009,0.9588274787704453,4EBP2,EIF4EBP2
seq.25902.27,-0.017485450804934015,-0.06573410587677903,-0.04824865507184502,0.0669769825373927,0.07650983300615576,0.9267426268480259,0.9588274787704453,DHE3,GLUD1
seq.6920.1,-0.04516833385404745,-0.046147982915400745,-9.796490613532965e-4,0.046777579021039184,0.0765097049337006,0.9267427442077485,0.9588274787704453,GFRAL,GFRAL
seq.14237.1,-0.05291733791365103,-0.03909669454821164,0.013820643365439395,0.06930689632666025,0.0764266659858873,0.9268188408825514,0.9588274787704453,HSP 70,HSPA1A
seq.19150.20,-0.14709555458562118,-0.1592702065033616,-0.01217465191774042,-0.31844126966582165,0.0763545578544685,0.926884926405701,0.9588274787704453,KPRB,PRPSAP2
seq.21899.36,0.05143785504022941,0.05819159808157304,0.0067537430413436295,-0.08957341667713588,0.07633828448603065,0.9268998413397324,0.9588274787704453,inhibin A,INHA|INHBA
seq.18387.7,0.12994052276004536,0.12905934832154287,-8.811744385024967e-4,-0.4448421375925256,0.07630174806139135,0.9269333288565894,0.9588274787704453,suppression of tumorigenicity 13,ST13
seq.2358.19,0.04066555978088812,0.06320858671012566,0.022543026929237542,-0.12563847606814793,0.07623723740443787,0.926992459591339,0.9588274787704453,VEGF sR3,FLT4
seq.15460.9,-0.06076435316356073,-0.03170824002873962,0.029056113134821107,0.042155038462971195,0.0761367076387133,0.9270846142235771,0.9588274787704453,CD26,DPP4
seq.25264.102,-0.13712002901751008,0.015602888128664786,0.15272291714617486,0.04387224346401183,0.07611329158016003,0.9271060810009689,0.9588274787704453,SHIP,INPP5D
seq.10606.34,-0.09835768231235112,-0.07298629259020714,0.025371389722143978,0.13000093587365033,0.07595369794162386,0.9272524043909113,0.9588274787704453,TOIP1,TOR1AIP1
seq.8675.79,0.03758802698826723,-0.02529144432724601,-0.06287947131551325,0.006853705717047613,0.07590390447428927,0.9272980629466878,0.9588274787704453,Fc_MOUSE,
seq.22772.125,-0.011737143837583022,0.048980864580402454,0.060718008417985476,0.016378757749412404,0.07559444802702905,0.9275818796248999,0.9589883971080536,SAM50,SAMM50
seq.22047.46,0.031041020215395794,0.04055296697128856,0.009511946755892765,-0.0343155235361845,0.0750382605946637,0.9280922353495389,0.9592739001897055,CO5A1,COL5A1
seq.21501.30,-0.08492168487929427,-0.010249700249223698,0.07467198463007058,0.16134859039316174,0.0750140168638046,0.9281144886476524,0.9592739001897055,FPPS,FDPS
seq.9545.156,-0.028427262934883124,-0.33318286865907154,-0.3047556057241884,-0.14498183616004404,0.07428243660984334,0.9287862937508251,0.959835649060633,Granzyme K,GZMK
seq.17366.6,0.003680445672106101,0.04625918381038883,0.042578738138282723,-0.0016225044079377267,0.07402720150852893,0.9290208057477691,0.9599453933424117,DCNL1,DCUN1D1
seq.17344.23,-0.016439087328123502,-0.05283754675120366,-0.03639845942308016,0.013962964431828873,0.0738045568249013,0.9292254289358051,0.9600242278509541,STML1,STOML1
seq.7983.1,0.03977355137374967,0.006265885170560726,-0.03350766620318894,0.001446374664442936,0.07303236249314925,0.9299355207384916,0.960520899063987,PCDGM,PCDHGC5
seq.16802.31,0.004671671177226569,0.05091005186253053,0.04623838068530396,0.07447303587322522,0.07300254168820747,0.9299629557439457,0.960520899063987,OCAD1,OCIAD1
seq.24432.3,0.15418414063586905,-0.05424563198918164,-0.2084297726250507,0.43401053567935133,0.07248836131321641,0.9304361455449729,0.9608769747131338,GRAP1,GRIPAP1
seq.17738.7,0.05882956482419946,0.019940573560319842,-0.03888899126387962,-1.1155733781379833e-4,0.0723377998961473,0.9305747564943292,0.9608874745802728,CRNN,CRNN
seq.23675.16,0.05301903923953262,0.0024171808803956224,-0.050601858359137,0.07144847005585515,0.0721815053292767,0.9307186706190529,0.9609034467155857,CEP76,CEP76
seq.14617.7,0.043394293288592595,-0.02547288655400408,-0.06886717984259667,0.07036956897019804,0.07189221088110812,0.9309851168373732,0.9609141020867261,Fc_MOUSE,
seq.5722.78,-0.007190255546516394,0.03614951774248195,0.043339773288998344,-0.025185607177577563,0.07189137607919457,0.9309858858340585,0.9609141020867261,Prolylcarboxypeptidase,PRCP
seq.17347.80,0.05061727974356128,-0.12167774560680322,-0.1722950253503645,-0.26393268748721815,0.07137756391647426,0.9314593339391289,0.961270144461115,CA080,AIDA
seq.10058.1,-0.17346256878922878,0.02191225075876513,0.1953748195479939,-0.526345226777238,0.07097965943432012,0.9318261697815737,0.9613187759850467,RD23A,RAD23A
seq.9524.46,0.010261414591858767,-0.031018815667692046,-0.04128023025955081,-0.0021096947732313076,0.07058370515113202,0.9321913723674224,0.9613187759850467,S31D4,SPATA31D4
seq.6895.1,-0.1064328167769194,0.014813869094285954,0.12124668587120535,0.06666725299077998,0.07057424852966834,0.9322000965516979,0.9613187759850467,TR,TFRC
seq.12825.18,0.0648646458017524,0.02584032579349342,-0.03902432000825898,-0.05431971879711991,0.0705505921052346,0.9322219211419697,0.9613187759850467,DP13A,APPL1
seq.23679.43,0.023453142282639637,0.050703718013043894,0.027250575730404257,0.03511347810488349,0.07045572493959625,0.9323094481667449,0.9613187759850467,DCC1,DSCC1
seq.14099.20,0.051565892174714696,-0.004861216198488429,-0.056427108373203125,-0.07355011085370755,0.07028647792653657,0.9324656234936837,0.9613187759850467,PSA4,PSMA4
seq.3684.78,-0.04706172634266505,-0.02392277503272497,0.02313895130994008,-0.07878319768146547,0.07028395218545058,0.9324679543882225,0.9613187759850467,Macrophage scavenger receptor,MSR1
seq.8356.88,0.02304868504949835,-0.038676971317982714,-0.06172565636748106,-0.11312662763088754,0.07021188123286186,0.9325344682961481,0.9613187759850467,NEU1,OXT
seq.8264.43,0.011880128700567302,0.05177305108659827,0.03989292238603097,-0.0835615556749502,0.07003678259848271,0.9326960886126828,0.9613529124981373,DLL1,DLL1
seq.24472.28,-0.09851604259676013,-0.07762567404615546,0.020890368550604665,0.14399398350598988,0.06913169708946376,0.9335320175938782,0.9620819704669793,SHRPN,SHARPIN
seq.24111.10,0.013488861784543393,-0.05816371403830277,-0.07165257582284616,-0.06980277060250417,0.06867775345020707,0.9339515998226258,0.9620964859679885,EF1G,EEF1G
seq.3820.68,0.029077968024830536,-0.10403407248642121,-0.13311204051125175,0.31790610321597806,0.06862686722988182,0.9339986476892281,0.9620964859679885,MAPK2,MAPKAPK2
seq.12785.49,-0.0552660495956003,-0.019444464668555622,0.03582158492704468,-0.01282593989737372,0.06862000767460028,0.934004990035564,0.9620964859679885,KAISO,ZBTB33
seq.2834.54,0.045492942306556566,0.08206735968367856,0.036574417377122,-0.18769868534415726,0.06855994763729101,0.9340605236713675,0.9620964859679885,kallikrein 8,KLK8
seq.17814.8,-0.06606656520764057,-0.09997593360962352,-0.03390936840198296,-0.04506039901353379,0.06818500855482379,0.9344072913345955,0.9622895561379048,BPNT1,BPNT1
seq.7680.205,0.03424111970613608,-0.017254494866580122,-0.0514956145727162,-0.026653892703404125,0.06807914232206097,0.9345052299614861,0.9622895561379048,OVOS_MOUSE,Ovos
seq.14061.48,0.026338084840259186,0.03635634212811754,0.010018257287858351,-0.07530176311020605,0.06778699497572345,0.9347755615168956,0.9624354494505775,sRANKL,TNFSF11
seq.5346.24,-0.11692746532601352,-0.1303811004177329,-0.013453635091719393,-0.05536721439716678,0.0675166540886993,0.935025794975203,0.962560612661276,CPNE1,CPNE1
seq.19333.4,-0.039505470456044633,0.0718190663252061,0.11132453678125073,-0.21422707153661,0.06724803281827522,0.9352745129008663,0.9626841814820282,hnRNP K,HNRNPK
seq.19581.15,-4.912087476557081e-4,-0.06309274179296626,-0.06260153304531055,0.19966964336450088,0.0663787501286669,0.9360799073841802,0.9633806283039005,IGFBP-5,IGFBP5
