AptName,PC1,PC2,PC3,PC4,Target,EntrezGeneSymbol
seq.21883.17,-0.020335875364494306,-0.003701028196919713,-0.005775732925111087,0.003072382505952278,BMP-5,BMP5
seq.18322.15,0.020333030980779626,-0.0011272617484627532,-0.0025343781078371844,0.011725414574560113,JMJD6,JMJD6
seq.13967.14,0.02033254000142001,-9.307002379947562e-4,-0.003994070222001599,0.00673426747884882,Thioredoxin reductase 1,TXNRD1
seq.18174.79,0.02033050468984137,-0.003834108407761162,-0.005665488862885423,0.010549248585675033,PDC6I,PDCD6IP
seq.17680.12,-0.0203262035790893,-7.220818287369387e-5,0.002466009751171379,0.001262343339614165,EPHB1,EPHB1
seq.13122.19,-0.020324825859483,-0.0016947189664502432,-6.410731115479584e-4,1.8566853879209476e-4,FLRT2,FLRT2
seq.3427.63,0.020317909529706923,-0.0018378339217380208,2.1899123424615275e-4,0.009933758022266443,CSK21,CSNK2A1
seq.24923.27,-0.020316711867131302,-0.00512919670767535,-0.005317342115235132,0.0026083021222725582,SCRN3,SCRN3
seq.19176.27,0.020309251835972514,0.0016817217191284347,-0.002743029547054918,0.005751535039068884,FA49B,CYRIB
seq.8081.55,-0.020306939821801692,-0.0037259295193069783,-0.002865325349126214,0.006284009830941334,PLD5,PLD5
seq.13529.39,0.0202969607211593,-0.0013577085677241355,-0.0034267634962138467,0.002803836802036318,NP1L2,NAP1L2
seq.21935.16,0.02029576887037027,0.0015098679771653638,-2.772790145138164e-6,0.00952384353282343,UBE2H,UBE2H
seq.7194.36,-0.020295307118079694,-0.003982279349151656,-0.009688358640095544,7.487670350054605e-4,NPTN,NPTN
seq.7190.50,-0.02028540870212685,-0.0024430823377095605,-0.00733837576145115,2.9082032848993497e-4,EPHA4,EPHA4
seq.4712.28,0.02027531499136796,0.0018940349376933682,-0.006025394921297113,-0.005565006930219665,Apo D,APOD
seq.21707.15,-0.020274806134351106,0.00322137878408027,-0.00665690843404538,5.840892368647098e-4,C1QL3,C1QL3
seq.25256.153,0.020264499362754883,-0.009482005123480805,9.415137016586355e-5,0.003228939026973375,EF-1-alpha-1,EEF1A1
seq.3717.23,0.020253790032273462,0.005293201145128194,-0.0015779567216510826,-0.010490919246329004,LUCI_PHOPY,
seq.12845.18,0.020242206710732864,0.001649131611667458,-1.535334686161398e-4,4.3448837140400086e-5,SNX17,SNX17
seq.21341.19,0.020237870126108698,-0.004839093981957243,-0.0026114465043194585,0.010804170842106116,CHM4A,CHMP4A
seq.12442.4,-0.020232153802451334,-0.0024352690849765144,0.0013470452348753087,0.006406685046286061,RHOD,RHOD
seq.11157.35,0.020206236371086924,-0.0017677387048399638,-0.00153299066418566,0.008556120554859596,HSP 70,HSPA1A
seq.20953.34,0.020201858866230344,0.0010565727476110663,2.7918296831033605e-4,2.1213572995698707e-4,MMAC,MMACHC
seq.3890.8,0.02019988156983525,-5.126891955581534e-4,-0.005906126055031735,0.009770093444790325,LDH-H 1,LDHB
seq.7173.141,-0.020197900614392493,-0.006370461173285394,-0.009279799680709971,-0.002323509456645822,T132C,TMEM132C
seq.8528.74,-0.02018133039234133,-0.002899752011076933,-0.0079538588000847045,0.005749862554307996,ISLR2,ISLR2
seq.16890.37,-0.020162344369793236,-0.0013119228492612846,-0.005867400621841811,-7.637096527932388e-4,ATL1,ADAMTSL1
seq.18415.16,0.020152777437450368,-0.0064363479085491745,0.002855955946959471,0.005870967447776195,ARL6,ARL6
seq.4666.224,0.02014696381762333,-6.860400828390465e-4,-0.0033158019747510765,0.002507405107189799,No Protein,
seq.2858.29,0.020146082652018567,-0.003913854472106966,-0.008216461269510015,-0.0012984425312885888,Hat1,HAT1
seq.19523.215,0.02014303726966756,-0.004434568103423025,-0.005094591450385458,0.010012452417923777,PARK7,PARK7
seq.25283.2,-0.020140020419886127,0.006182852055418556,-0.007345051394115781,0.005911384957560064,CTNA3,CTNNA3
seq.19824.3,-0.0201292895067999,-0.0011816512263505019,0.001840986275230785,0.005025601914124322,UB2R2,UBE2R2
seq.9169.14,0.02012395851598634,-0.005524190749406349,-2.616093217605716e-4,0.009635035244567864,SUMO3,SUMO3
seq.5092.51,-0.020119547375068148,1.2690007774014771e-5,-0.00870654309784341,-0.008355491043910788,JAG1,JAG1
seq.10069.2,0.020113564407629042,0.008520088820292732,0.003376125159296904,0.007098488949350303,PIN1,PIN1
seq.5864.10,0.02011217369049238,-0.0068689766516625336,-0.0024554618851433483,0.009956453104750412,aldolase A,ALDOA
seq.12563.2,0.020096746861986,-0.004463039870336846,-0.005940260454046077,0.004728195156855309,TFIP8,TNFAIP8
seq.13481.24,0.02009159180923561,0.006946442634618334,8.984207482207322e-4,-0.0033490015410209983,TCEA2,TCEA2
seq.14663.44,0.020089844366277546,0.0031029720495463478,-0.002715228768771394,0.0030642456933332616,RNF8,RNF8
seq.7921.65,-0.02008804931185221,0.002182884913081573,-0.00240481098577108,2.3018412684765844e-4,FJX1,FJX1
seq.18373.13,0.020084345453417987,-6.181900061502291e-4,-0.00549663409495208,0.006251104616485963,Radixin,RDX
seq.15540.6,0.020067622217120253,0.0036747112214474856,-0.006665484239142798,-0.0074847818704003545,Vimentin,VIM
seq.20401.19,0.020066638801395652,0.004748965575195424,-0.0011416602162802499,-4.626211585495572e-4,BUD31,BUD31
seq.7123.25,0.020055777434690635,0.008920932229241441,-0.005717122176452109,-2.0807107932961598e-4,RM52,MRPL52
seq.11671.19,0.020049242174781587,0.0034494624826369343,0.006147387680198618,-0.004237568894637868,BRPF1,BRPF1
seq.8471.53,0.02004432919154722,-0.002595990566546068,-0.0012162513013883865,0.0066270510259440075,Allophycocyanin_CYACA,apcB|apcA
seq.17757.86,0.020043093314751015,-0.010539308708072712,0.003798058592806167,0.004588481794023481,CAB39,CAB39
seq.19361.78,-0.0200287998924412,-0.0027930767424192847,-0.007674855486873883,-0.001046071201238734,MATN3,MATN3
seq.22793.110,0.020023982268660496,-0.0033946243360941457,0.0010116808907877277,0.0057810499575602125,T2AG,GTF2A2
seq.6273.58,0.020020618523240396,0.005351749863655264,-0.004375766309473054,-0.007955657547266848,P3H1,P3H1
seq.11606.22,0.0200147175825041,-0.0036375319576294695,-0.005609139566535873,0.011558051762631392,DNJB6,DNAJB6
seq.4309.59,0.020002537439353863,-0.004281713319260245,-0.0074707878421831535,0.009667959690304363,Triosephosphate isomerase,TPI1
seq.13937.75,0.019991207847441895,2.2819197196558455e-4,-0.006793935652967989,0.010653736254664979,CAND1,CAND1
seq.2617.56,-0.019990346965735664,-0.002226186782426932,1.989618380462745e-4,-0.007550407017115885,ERBB3,ERBB3
seq.13707.27,-0.019988661123626492,-0.0031026912780265916,-0.006052209020684348,0.0010434115693869974,SPARCL1,SPARCL1
seq.24938.7,0.019987248214529182,-0.008797784142224138,0.0013648223885867163,0.00876077812904962,AP2B1,AP2B1
seq.6172.7,0.019987201561197834,0.0027809732170761517,-0.008227724322303124,0.010603923467485647,PolyUbiquitin K63,UBC
