AptName,Target,EntrezGeneSymbol,ColCheck,UniProt
seq.11288.26,5NTC,NT5C2,PASS,P49902
seq.4187.49,6-Phosphogluconate dehydrogenase,PGD,PASS,P52209
seq.2516.57,6Ckine,CCL21,PASS,O00585
seq.17799.9,6PGL,PGLS,PASS,O95336
seq.19206.20,8ODP,NUDT1,PASS,P36639
seq.12423.38,A1CF,A1CF,PASS,Q9NQ94
seq.15482.12,A2ML1,A2ML1,PASS,A8K2U0
seq.10835.25,A4GCT,A4GNT,PASS,Q9UNA3
seq.21515.61,AACS,AACS,PASS,Q86V21
seq.22023.3,AADAT,AADAT,PASS,Q8N5Z0
seq.24216.30,AAMDC,AAMDC,PASS,Q9H7C9
seq.21535.5,AASD1,AARSD1,PASS,Q9BTE6
seq.21949.4,AB1IP,APBB1IP,PASS,Q7Z5R6
seq.13930.3,ABC3G,APOBEC3G,PASS,Q9HC16
seq.25886.11,ABCD4,ABCD4,PASS,O14678
seq.23700.42,ABCF3,ABCF3,PASS,Q9NUQ8
seq.7825.7,ABD12,ABHD12,PASS,Q8N2K0
seq.24647.3,ABEC2,APOBEC2,PASS,Q9Y235
seq.21780.15,ABHD4,ABHD4,PASS,Q8TB40
seq.23393.56,ABHD5,ABHD5,PASS,Q8WTS1
seq.17370.186,ABHDA,ABHD10,PASS,Q9NUJ1
seq.5715.4,ABHEA,ABHD14A,PASS,Q9BUJ0
seq.19325.21,ABHEB,ABHD14B,PASS,Q96IU4
seq.23553.1,ABI3,ABI3,PASS,Q9P2A4
seq.3341.33,ABL1,ABL1,PASS,P00519
seq.3342.76,ABL2,ABL2,PASS,P42684
seq.5261.13,ABL2,ABL2,PASS,P42684
seq.13578.98,ABLM3,ABLIM3,PASS,O94929
seq.15486.126,ABP1,AOC1,PASS,P19801
seq.6209.2,ABP1,AOC1,PASS,P19801
seq.21958.4,ABR,ABR,PASS,Q12979
seq.11406.82,ACAD8,ACAD8,PASS,Q9UKU7
seq.17857.6,ACADL,ACADL,PASS,P28330
seq.17333.20,ACADM,ACADM,PASS,P11310
seq.19262.219,ACADV,ACADVL,PASS,P49748
seq.10440.26,ACAM,CLMP,PASS,Q9H6B4
seq.9585.80,ACAM,CLMP,PASS,Q9H6B4
seq.24686.19,ACBD4,ACBD4,PASS,Q8NC06
seq.10075.75,ACBD6,ACBD6,PASS,Q9BR61
seq.19341.36,ACBD6,ACBD6,PASS,Q9BR61
seq.13563.259,ACBD7,ACBD7,PASS,Q8N6N7
seq.16919.1,ACBP,DBI,PASS,P07108
seq.10714.7,ACE,ACE,PASS,P12821
