AptName,logFC,AveExpr,t,P.Value,adj.P.Val,B,Target,EntrezGeneSymbol,contrast
seq.9598.23,-0.060466038191712826,0.042173270168916886,-0.5060376758063957,0.6209939401138675,0.9987520320773822,-4.692649362801087,CSMD1,CSMD1,Spine_vs_HeadNeck
seq.23341.16,-0.17923888227244725,0.35682737150354704,-0.5058079509053952,0.6211509663060155,0.9987520320773822,-4.692676650556048,DMC1,DMC1,Spine_vs_HeadNeck
seq.7765.15,-0.12418056796157222,0.07762708175812572,-0.5056023573170104,0.6212915140871856,0.9987520320773822,-4.692701062073369,ITM2A,ITM2A,Spine_vs_HeadNeck
seq.24971.2,0.0797663582590463,-0.017121971855653822,0.5055937935821108,0.6212973687573027,0.9987520320773822,-4.6927020787024585,SAC2,INPP5F,Spine_vs_HeadNeck
seq.2888.49,0.0845416015328862,-0.08330125648775095,0.5054722390181675,0.6213804734489197,0.9987520320773822,-4.692716507109691,C7,C7,Spine_vs_HeadNeck
seq.17511.10,-0.06718234574014223,0.06456699390818521,-0.505470202702977,0.6213818656872121,0.9987520320773822,-4.692716748790709,RPP30,RPP30,Spine_vs_HeadNeck
seq.3728.52,0.08352295794676518,-0.12923249112800886,0.5053646106479501,0.6214540615428497,0.9987520320773822,-4.692729279786779,Secretin,SCT,Spine_vs_HeadNeck
seq.15431.31,0.05120237577422664,-0.04110078271628792,0.5053462333207941,0.6214666269832322,0.9987520320773822,-4.69273146044172,OTCase,OTC,Spine_vs_HeadNeck
seq.19163.26,0.3055016608873721,0.4450943534512393,0.5053348365734853,0.6214744195356168,0.9987520320773822,-4.69273281274335,LRC59,LRRC59,Spine_vs_HeadNeck
seq.21832.31,0.09168599234859887,-0.08902715843211946,0.5052822033827196,0.6215104082155203,0.9987520320773822,-4.6927390576600985,SCCA1,SERPINB3,Spine_vs_HeadNeck
seq.5807.77,-0.08991560989206385,0.04544410548468614,-0.5052782236970076,0.621513129422284,0.9987520320773822,-4.692739529824247,CD70,CD70,Spine_vs_HeadNeck
seq.4499.21,-0.12309301097094574,-0.04202871498920061,-0.5050767900962088,0.6216508720734076,0.9987520320773822,-4.692763424089701,PDGF-AA,PDGFA,Spine_vs_HeadNeck
