pathway,collection,n_hit_in_set,n_set,n_hit,n_background,odds_ratio,p_value,padj,draw,contrast,direction,n_sig_hits,label
KEGG_RENAL_CELL_CARCINOMA,KEGG,3,59,991,7481,0.34889783307947886,0.9888254996563225,0.9999769316359287,Arterial,Laparoscopic_vs_HeadNeck,down,614,Arterial · Laparoscopic / Head-Neck · higher in 2nd
HALLMARK_HYPOXIA,Hallmark,10,137,991,7481,0.5107649600256982,0.9906849858304894,0.9999769316359287,Arterial,Laparoscopic_vs_HeadNeck,down,614,Arterial · Laparoscopic / Head-Neck · higher in 2nd
HALLMARK_SPERMATOGENESIS,Hallmark,3,61,991,7481,0.3367628518371328,0.9910872820334369,0.9999769316359287,Arterial,Laparoscopic_vs_HeadNeck,down,614,Arterial · Laparoscopic / Head-Neck · higher in 2nd
KEGG_JAK_STAT_SIGNALING_PATHWAY,KEGG,10,150,991,7481,0.46239396474705174,0.9968577156266537,0.9999769316359287,Arterial,Laparoscopic_vs_HeadNeck,down,614,Arterial · Laparoscopic / Head-Neck · higher in 2nd
KEGG_INSULIN_SIGNALING_PATHWAY,KEGG,4,84,991,7481,0.32475333839808446,0.9972665622783694,0.9999769316359287,Arterial,Laparoscopic_vs_HeadNeck,down,614,Arterial · Laparoscopic / Head-Neck · higher in 2nd
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS,KEGG,3,74,991,7481,0.2745489760032553,0.9980313071863807,0.9999769316359287,Arterial,Laparoscopic_vs_HeadNeck,down,614,Arterial · Laparoscopic / Head-Neck · higher in 2nd
HALLMARK_MYC_TARGETS_V1,Hallmark,4,125,991,7481,0.21334382755755635,0.9999769316359287,0.9999769316359287,Arterial,Laparoscopic_vs_HeadNeck,down,614,Arterial · Laparoscopic / Head-Neck · higher in 2nd
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION,KEGG,3,17,367,7481,4.17830170236951,0.04773962727578239,0.8864036609695177,Venous,Spine_vs_Laparoscopic,up,82,Venous · Spine / Laparoscopic · higher in 1st
KEGG_DILATED_CARDIOMYOPATHY,KEGG,4,37,367,7481,2.3639368901940605,0.10574175772230643,0.8864036609695177,Venous,Spine_vs_Laparoscopic,up,82,Venous · Spine / Laparoscopic · higher in 1st
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM,KEGG,4,38,367,7481,2.2942856337438484,0.11386902778501952,0.8864036609695177,Venous,Spine_vs_Laparoscopic,up,82,Venous · Spine / Laparoscopic · higher in 1st
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,KEGG,4,39,367,7481,2.228501889698216,0.12226257392683003,0.8864036609695177,Venous,Spine_vs_Laparoscopic,up,82,Venous · Spine / Laparoscopic · higher in 1st
KEGG_LYSOSOME,KEGG,5,71,367,7481,1.4748600541564743,0.26832085297490155,0.9990530989978768,Venous,Spine_vs_Laparoscopic,up,82,Venous · Spine / Laparoscopic · higher in 1st
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES,KEGG,5,77,367,7481,1.3508326139242561,0.32634820235589285,0.9990530989978768,Venous,Spine_vs_Laparoscopic,up,82,Venous · Spine / Laparoscopic · higher in 1st
KEGG_OOCYTE_MEIOSIS,KEGG,3,47,367,7481,1.32424259086851,0.40770686148221746,0.9990530989978768,Venous,Spine_vs_Laparoscopic,up,82,Venous · Spine / Laparoscopic · higher in 1st
KEGG_CELL_ADHESION_MOLECULES_CAMS,KEGG,6,107,367,7481,1.154030500513318,0.428999237666734,0.9990530989978768,Venous,Spine_vs_Laparoscopic,up,82,Venous · Spine / Laparoscopic · higher in 1st
HALLMARK_MYOGENESIS,Hallmark,7,130,367,7481,1.105145956904846,0.4560610613745777,0.9990530989978768,Venous,Spine_vs_Laparoscopic,up,82,Venous · Spine / Laparoscopic · higher in 1st
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION,KEGG,3,51,367,7481,1.213219755887777,0.4603202722593334,0.9990530989978768,Venous,Spine_vs_Laparoscopic,up,82,Venous · Spine / Laparoscopic · higher in 1st
KEGG_CHEMOKINE_SIGNALING_PATHWAY,KEGG,7,137,367,7481,1.0446251717015864,0.5117141583120783,0.9990530989978768,Venous,Spine_vs_Laparoscopic,up,82,Venous · Spine / Laparoscopic · higher in 1st
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS,KEGG,3,56,367,7481,1.0979929924471687,0.5230743680144224,0.9990530989978768,Venous,Spine_vs_Laparoscopic,up,82,Venous · Spine / Laparoscopic · higher in 1st
HALLMARK_IL2_STAT5_SIGNALING,Hallmark,6,133,367,7481,0.9143982575860409,0.6420505852930378,0.9990530989978768,Venous,Spine_vs_Laparoscopic,up,82,Venous · Spine / Laparoscopic · higher in 1st
KEGG_MELANOMA,KEGG,3,74,367,7481,0.8175754144992204,0.7111249514818174,0.9990530989978768,Venous,Spine_vs_Laparoscopic,up,82,Venous · Spine / Laparoscopic · higher in 1st
KEGG_AXON_GUIDANCE,KEGG,5,127,367,7481,0.7916109719640239,0.7538528603809135,0.9990530989978768,Venous,Spine_vs_Laparoscopic,up,82,Venous · Spine / Laparoscopic · higher in 1st
HALLMARK_APICAL_JUNCTION,Hallmark,6,151,367,7481,0.7988305546770704,0.757879625043262,0.9990530989978768,Venous,Spine_vs_Laparoscopic,up,82,Venous · Spine / Laparoscopic · higher in 1st
HALLMARK_IL6_JAK_STAT3_SIGNALING,Hallmark,4,106,367,7481,0.7575395408545391,0.7710851262162852,0.9990530989978768,Venous,Spine_vs_Laparoscopic,up,82,Venous · Spine / Laparoscopic · higher in 1st
HALLMARK_G2M_CHECKPOINT,Hallmark,3,86,367,7481,0.698186401350288,0.801174084176705,0.9990530989978768,Venous,Spine_vs_Laparoscopic,up,82,Venous · Spine / Laparoscopic · higher in 1st
HALLMARK_HYPOXIA,Hallmark,5,137,367,7481,0.7305964187015395,0.8095139471651246,0.9990530989978768,Venous,Spine_vs_Laparoscopic,up,82,Venous · Spine / Laparoscopic · higher in 1st
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,KEGG,3,88,367,7481,0.681565277545117,0.8136458478918409,0.9990530989978768,Venous,Spine_vs_Laparoscopic,up,82,Venous · Spine / Laparoscopic · higher in 1st
HALLMARK_XENOBIOTIC_METABOLISM,Hallmark,4,142,367,7481,0.5570505290654704,0.9235984090871368,0.9990530989978768,Venous,Spine_vs_Laparoscopic,up,82,Venous · Spine / Laparoscopic · higher in 1st
HALLMARK_INTERFERON_GAMMA_RESPONSE,Hallmark,4,148,367,7481,0.5333811527905397,0.937367106741987,0.9990530989978768,Venous,Spine_vs_Laparoscopic,up,82,Venous · Spine / Laparoscopic · higher in 1st
HALLMARK_ALLOGRAFT_REJECTION,Hallmark,5,192,367,7481,0.5116535501173689,0.9629103204861261,0.9990530989978768,Venous,Spine_vs_Laparoscopic,up,82,Venous · Spine / Laparoscopic · higher in 1st
HALLMARK_GLYCOLYSIS,Hallmark,3,145,367,7481,0.4046922620329496,0.976304595969285,0.9990530989978768,Venous,Spine_vs_Laparoscopic,up,82,Venous · Spine / Laparoscopic · higher in 1st
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,KEGG,9,324,367,7481,0.5426740655973864,0.981114777939972,0.9990530989978768,Venous,Spine_vs_Laparoscopic,up,82,Venous · Spine / Laparoscopic · higher in 1st
KEGG_MAPK_SIGNALING_PATHWAY,KEGG,4,191,367,7481,0.40821865074922953,0.9863470093881455,0.9990530989978768,Venous,Spine_vs_Laparoscopic,up,82,Venous · Spine / Laparoscopic · higher in 1st
KEGG_FOCAL_ADHESION,KEGG,3,163,367,7481,0.3582395828457314,0.9883982905896429,0.9990530989978768,Venous,Spine_vs_Laparoscopic,up,82,Venous · Spine / Laparoscopic · higher in 1st
HALLMARK_COMPLEMENT,Hallmark,3,198,367,7481,0.29246368255143546,0.9972695073552198,0.9990530989978768,Venous,Spine_vs_Laparoscopic,up,82,Venous · Spine / Laparoscopic · higher in 1st
KEGG_PATHWAYS_IN_CANCER,KEGG,4,259,367,7481,0.29642670757640555,0.9990530989978768,0.9990530989978768,Venous,Spine_vs_Laparoscopic,up,82,Venous · Spine / Laparoscopic · higher in 1st
KEGG_TYROSINE_METABOLISM,KEGG,5,32,508,7481,2.5567569605649374,0.06236170098710792,0.9999986463552216,Venous,Spine_vs_Laparoscopic,down,206,Venous · Spine / Laparoscopic · higher in 2nd
KEGG_PROPANOATE_METABOLISM,KEGG,3,17,508,7481,2.952215657163755,0.10409628176670215,0.9999986463552216,Venous,Spine_vs_Laparoscopic,down,206,Venous · Spine / Laparoscopic · higher in 2nd
KEGG_BUTANOATE_METABOLISM,KEGG,3,18,508,7481,2.754894268786182,0.11891897610491817,0.9999986463552216,Venous,Spine_vs_Laparoscopic,down,206,Venous · Spine / Laparoscopic · higher in 2nd
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM,KEGG,3,18,508,7481,2.754894268786182,0.11891897610491817,0.9999986463552216,Venous,Spine_vs_Laparoscopic,down,206,Venous · Spine / Laparoscopic · higher in 2nd
KEGG_REGULATION_OF_AUTOPHAGY,KEGG,4,30,508,7481,2.1202796384303655,0.14285363305502954,0.9999986463552216,Venous,Spine_vs_Laparoscopic,down,206,Venous · Spine / Laparoscopic · higher in 2nd
KEGG_PPAR_SIGNALING_PATHWAY,KEGG,5,43,508,7481,1.8139152943818269,0.16454644009036576,0.9999986463552216,Venous,Spine_vs_Laparoscopic,down,206,Venous · Spine / Laparoscopic · higher in 2nd
HALLMARK_BILE_ACID_METABOLISM,Hallmark,5,46,508,7481,1.6804940532350374,0.1998555623530668,0.9999986463552216,Venous,Spine_vs_Laparoscopic,down,206,Venous · Spine / Laparoscopic · higher in 2nd
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,KEGG,5,47,508,7481,1.6402503939824649,0.21216109630466295,0.9999986463552216,Venous,Spine_vs_Laparoscopic,down,206,Venous · Spine / Laparoscopic · higher in 2nd
HALLMARK_FATTY_ACID_METABOLISM,Hallmark,10,110,508,7481,1.3800431612496353,0.21249101802625045,0.9999986463552216,Venous,Spine_vs_Laparoscopic,down,206,Venous · Spine / Laparoscopic · higher in 2nd
KEGG_DRUG_METABOLISM_CYTOCHROME_P450,KEGG,4,36,508,7481,1.721314742357247,0.226020492290719,0.9999986463552216,Venous,Spine_vs_Laparoscopic,down,206,Venous · Spine / Laparoscopic · higher in 2nd
HALLMARK_SPERMATOGENESIS,Hallmark,6,61,508,7481,1.5032550653798344,0.23182155915877345,0.9999986463552216,Venous,Spine_vs_Laparoscopic,down,206,Venous · Spine / Laparoscopic · higher in 2nd
KEGG_FATTY_ACID_METABOLISM,KEGG,3,25,508,7481,1.8768479880762041,0.2389998717611494,0.9999986463552216,Venous,Spine_vs_Laparoscopic,down,206,Venous · Spine / Laparoscopic · higher in 2nd
KEGG_LONG_TERM_DEPRESSION,KEGG,4,39,508,7481,1.5731093833846557,0.2714386154931258,0.9999986463552216,Venous,Spine_vs_Laparoscopic,down,206,Venous · Spine / Laparoscopic · higher in 2nd
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450,KEGG,4,39,508,7481,1.5731093833846557,0.2714386154931258,0.9999986463552216,Venous,Spine_vs_Laparoscopic,down,206,Venous · Spine / Laparoscopic · higher in 2nd
KEGG_PROTEASOME,KEGG,3,28,508,7481,1.6508619678989085,0.2954860539101637,0.9999986463552216,Venous,Spine_vs_Laparoscopic,down,206,Venous · Spine / Laparoscopic · higher in 2nd
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,KEGG,5,54,508,7481,1.4045481700518212,0.3037256625204608,0.9999986463552216,Venous,Spine_vs_Laparoscopic,down,206,Venous · Spine / Laparoscopic · higher in 2nd
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,Hallmark,3,31,508,7481,1.4733738122899147,0.35266681523471793,0.9999986463552216,Venous,Spine_vs_Laparoscopic,down,206,Venous · Spine / Laparoscopic · higher in 2nd
KEGG_MELANOGENESIS,KEGG,5,58,508,7481,1.2978211064675564,0.35853767690038035,0.9999986463552216,Venous,Spine_vs_Laparoscopic,down,206,Venous · Spine / Laparoscopic · higher in 2nd
KEGG_RENAL_CELL_CARCINOMA,KEGG,5,59,508,7481,1.2736072411682946,0.3723307976275818,0.9999986463552216,Venous,Spine_vs_Laparoscopic,down,206,Venous · Spine / Laparoscopic · higher in 2nd
HALLMARK_INTERFERON_ALPHA_RESPONSE,Hallmark,5,60,508,7481,1.2502737909673765,0.38612429003682885,0.9999986463552216,Venous,Spine_vs_Laparoscopic,down,206,Venous · Spine / Laparoscopic · higher in 2nd
KEGG_OOCYTE_MEIOSIS,KEGG,4,47,508,7481,1.2790215155018239,0.39712851156260687,0.9999986463552216,Venous,Spine_vs_Laparoscopic,down,206,Venous · Spine / Laparoscopic · higher in 2nd
KEGG_ARGININE_AND_PROLINE_METABOLISM,KEGG,3,37,508,7481,1.2123701589411398,0.4642768948836024,0.9999986463552216,Venous,Spine_vs_Laparoscopic,down,206,Venous · Spine / Laparoscopic · higher in 2nd
KEGG_CHRONIC_MYELOID_LEUKEMIA,KEGG,4,56,508,7481,1.0563327626687784,0.5334355121874453,0.9999986463552216,Venous,Spine_vs_Laparoscopic,down,206,Venous · Spine / Laparoscopic · higher in 2nd
HALLMARK_ANDROGEN_RESPONSE,Hallmark,4,59,508,7481,0.9982686282146331,0.5754563941780401,0.9999986463552216,Venous,Spine_vs_Laparoscopic,down,206,Venous · Spine / Laparoscopic · higher in 2nd
KEGG_PYRIMIDINE_METABOLISM,KEGG,4,59,508,7481,0.9982686282146331,0.5754563941780401,0.9999986463552216,Venous,Spine_vs_Laparoscopic,down,206,Venous · Spine / Laparoscopic · higher in 2nd
HALLMARK_CHOLESTEROL_HOMEOSTASIS,Hallmark,3,46,508,7481,0.957407568665066,0.6131511258853455,0.9999986463552216,Venous,Spine_vs_Laparoscopic,down,206,Venous · Spine / Laparoscopic · higher in 2nd
HALLMARK_MYC_TARGETS_V1,Hallmark,8,125,508,7481,0.9375788205405464,0.6212983548596946,0.9999986463552216,Venous,Spine_vs_Laparoscopic,down,206,Venous · Spine / Laparoscopic · higher in 2nd
HALLMARK_XENOBIOTIC_METABOLISM,Hallmark,9,142,508,7481,0.927576083855112,0.6343976006884811,0.9999986463552216,Venous,Spine_vs_Laparoscopic,down,206,Venous · Spine / Laparoscopic · higher in 2nd
HALLMARK_GLYCOLYSIS,Hallmark,9,145,508,7481,0.9067180449826316,0.6592603476447334,0.9999986463552216,Venous,Spine_vs_Laparoscopic,down,206,Venous · Spine / Laparoscopic · higher in 2nd
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION,KEGG,3,51,508,7481,0.8570651996385795,0.6828706885922271,0.9999986463552216,Venous,Spine_vs_Laparoscopic,down,206,Venous · Spine / Laparoscopic · higher in 2nd
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION,KEGG,3,53,508,7481,0.8225460510507434,0.708003891563194,0.9999986463552216,Venous,Spine_vs_Laparoscopic,down,206,Venous · Spine / Laparoscopic · higher in 2nd
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY,KEGG,3,56,508,7481,0.7756513098768554,0.7427982129949537,0.9999986463552216,Venous,Spine_vs_Laparoscopic,down,206,Venous · Spine / Laparoscopic · higher in 2nd
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,KEGG,7,133,508,7481,0.7592662683659122,0.8080417983030078,0.9999986463552216,Venous,Spine_vs_Laparoscopic,down,206,Venous · Spine / Laparoscopic · higher in 2nd
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,KEGG,5,99,508,7481,0.7274521583156124,0.8117306922134286,0.9999986463552216,Venous,Spine_vs_Laparoscopic,down,206,Venous · Spine / Laparoscopic · higher in 2nd
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,4,83,508,7481,0.692594454971839,0.8245618622152453,0.9999986463552216,Venous,Spine_vs_Laparoscopic,down,206,Venous · Spine / Laparoscopic · higher in 2nd
HALLMARK_HYPOXIA,Hallmark,7,137,508,7481,0.7354733651984948,0.8313651186457598,0.9999986463552216,Venous,Spine_vs_Laparoscopic,down,206,Venous · Spine / Laparoscopic · higher in 2nd
HALLMARK_G2M_CHECKPOINT,Hallmark,4,86,508,7481,0.6669646797354092,0.8450000456593251,0.9999986463552216,Venous,Spine_vs_Laparoscopic,down,206,Venous · Spine / Laparoscopic · higher in 2nd
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION,KEGG,3,69,508,7481,0.6217002485510529,0.8568821542663037,0.9999986463552216,Venous,Spine_vs_Laparoscopic,down,206,Venous · Spine / Laparoscopic · higher in 2nd
HALLMARK_MITOTIC_SPINDLE,Hallmark,3,72,508,7481,0.5944110407171658,0.8758943256010137,0.9999986463552216,Venous,Spine_vs_Laparoscopic,down,206,Venous · Spine / Laparoscopic · higher in 2nd
KEGG_WNT_SIGNALING_PATHWAY,KEGG,4,92,508,7481,0.620947428723329,0.8798960416761662,0.9999986463552216,Venous,Spine_vs_Laparoscopic,down,206,Venous · Spine / Laparoscopic · higher in 2nd
HALLMARK_INTERFERON_GAMMA_RESPONSE,Hallmark,7,148,508,7481,0.6770028543963836,0.8840684706359583,0.9999986463552216,Venous,Spine_vs_Laparoscopic,down,206,Venous · Spine / Laparoscopic · higher in 2nd
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,KEGG,3,78,508,7481,0.5463820781138347,0.9073248771096284,0.9999986463552216,Venous,Spine_vs_Laparoscopic,down,206,Venous · Spine / Laparoscopic · higher in 2nd
HALLMARK_E2F_TARGETS,Hallmark,4,99,508,7481,0.5746071852233592,0.911816594151245,0.9999986463552216,Venous,Spine_vs_Laparoscopic,down,206,Venous · Spine / Laparoscopic · higher in 2nd
HALLMARK_ADIPOGENESIS,Hallmark,5,122,508,7481,0.5825505410349502,0.9244681346003678,0.9999986463552216,Venous,Spine_vs_Laparoscopic,down,206,Venous · Spine / Laparoscopic · higher in 2nd
HALLMARK_MTORC1_SIGNALING,Hallmark,5,123,508,7481,0.5775297040436447,0.9276049418178294,0.9999986463552216,Venous,Spine_vs_Laparoscopic,down,206,Venous · Spine / Laparoscopic · higher in 2nd
HALLMARK_PI3K_AKT_MTOR_SIGNALING,Hallmark,3,87,508,7481,0.487203752300226,0.9411158428444479,0.9999986463552216,Venous,Spine_vs_Laparoscopic,down,206,Venous · Spine / Laparoscopic · higher in 2nd
HALLMARK_HEME_METABOLISM,Hallmark,3,98,508,7481,0.43013330265904515,0.9668933685109451,0.9999986463552216,Venous,Spine_vs_Laparoscopic,down,206,Venous · Spine / Laparoscopic · higher in 2nd
HALLMARK_IL6_JAK_STAT3_SIGNALING,Hallmark,3,106,508,7481,0.3962654488160268,0.9784957170071396,0.9999986463552216,Venous,Spine_vs_Laparoscopic,down,206,Venous · Spine / Laparoscopic · higher in 2nd
KEGG_JAK_STAT_SIGNALING_PATHWAY,KEGG,4,150,508,7481,0.37114624390877216,0.9929507650572624,0.9999986463552216,Venous,Spine_vs_Laparoscopic,down,206,Venous · Spine / Laparoscopic · higher in 2nd
HALLMARK_APOPTOSIS,Hallmark,3,126,508,7481,0.3308692900398861,0.9929634405248953,0.9999986463552216,Venous,Spine_vs_Laparoscopic,down,206,Venous · Spine / Laparoscopic · higher in 2nd
KEGG_CHEMOKINE_SIGNALING_PATHWAY,KEGG,3,137,508,7481,0.30322196676535773,0.9962674216443334,0.9999986463552216,Venous,Spine_vs_Laparoscopic,down,206,Venous · Spine / Laparoscopic · higher in 2nd
HALLMARK_COMPLEMENT,Hallmark,4,198,508,7481,0.2773564707746919,0.9995127197828588,0.9999986463552216,Venous,Spine_vs_Laparoscopic,down,206,Venous · Spine / Laparoscopic · higher in 2nd
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Hallmark,4,210,508,7481,0.2607381178055768,0.9997576345943244,0.9999986463552216,Venous,Spine_vs_Laparoscopic,down,206,Venous · Spine / Laparoscopic · higher in 2nd
KEGG_MAPK_SIGNALING_PATHWAY,KEGG,3,191,508,7481,0.2144228383489262,0.9998566409197434,0.9999986463552216,Venous,Spine_vs_Laparoscopic,down,206,Venous · Spine / Laparoscopic · higher in 2nd
KEGG_PATHWAYS_IN_CANCER,KEGG,5,259,508,7481,0.26297782083444793,0.9999350387117402,0.9999986463552216,Venous,Spine_vs_Laparoscopic,down,206,Venous · Spine / Laparoscopic · higher in 2nd
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,KEGG,5,324,508,7481,0.2073693114866955,0.9999986463552216,0.9999986463552216,Venous,Spine_vs_Laparoscopic,down,206,Venous · Spine / Laparoscopic · higher in 2nd
KEGG_PRION_DISEASES,KEGG,11,39,388,7481,7.358598473426626,2.8500026341908897e-6,6.270005795219958e-5,Venous,Spine_vs_HeadNeck,up,101,Venous · Spine / Head-Neck · higher in 1st
KEGG_SPLICEOSOME,KEGG,10,65,388,7481,3.384311121780041,0.0017345323415478532,0.019079855757026386,Venous,Spine_vs_HeadNeck,up,101,Venous · Spine / Head-Neck · higher in 1st
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,KEGG,10,78,388,7481,2.732462394725032,0.006708295389772717,0.039874261185301914,Venous,Spine_vs_HeadNeck,up,101,Venous · Spine / Head-Neck · higher in 1st
HALLMARK_MYOGENESIS,Hallmark,14,130,388,7481,2.2511749356466426,0.007249865670054894,0.039874261185301914,Venous,Spine_vs_HeadNeck,up,101,Venous · Spine / Head-Neck · higher in 1st
KEGG_ENDOCYTOSIS,KEGG,12,125,388,7481,1.971150065686699,0.028349253109174057,0.12473671368036586,Venous,Spine_vs_HeadNeck,up,101,Venous · Spine / Head-Neck · higher in 1st
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM,KEGG,3,25,388,7481,2.5039963537032963,0.13738234210101757,0.46272132182046516,Venous,Spine_vs_HeadNeck,up,101,Venous · Spine / Head-Neck · higher in 1st
HALLMARK_COMPLEMENT,Hallmark,14,198,388,7481,1.4054882913041937,0.14722951148832983,0.46272132182046516,Venous,Spine_vs_HeadNeck,up,101,Venous · Spine / Head-Neck · higher in 1st
HALLMARK_MITOTIC_SPINDLE,Hallmark,6,72,388,7481,1.6721457507814979,0.16894416260450112,0.4645964471623781,Venous,Spine_vs_HeadNeck,up,101,Venous · Spine / Head-Neck · higher in 1st
KEGG_DILATED_CARDIOMYOPATHY,KEGG,3,37,388,7481,1.617656190041895,0.3006607341680499,0.6932222104160871,Venous,Spine_vs_HeadNeck,up,101,Venous · Spine / Head-Neck · higher in 1st
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM,KEGG,3,38,388,7481,1.5712182474067757,0.315101004734585,0.6932222104160871,Venous,Spine_vs_HeadNeck,up,101,Venous · Spine / Head-Neck · higher in 1st
KEGG_MAPK_SIGNALING_PATHWAY,KEGG,11,191,388,7481,1.1205649774942008,0.4046254549050722,0.8092509098101444,Venous,Spine_vs_HeadNeck,up,101,Venous · Spine / Head-Neck · higher in 1st
KEGG_CELL_CYCLE,KEGG,4,68,388,7481,1.1440202443077703,0.47262619431823527,0.8664813562500979,Venous,Spine_vs_HeadNeck,up,101,Venous · Spine / Head-Neck · higher in 1st
KEGG_LYSOSOME,KEGG,3,71,388,7481,0.8050200594696467,0.7205543240333531,0.9999020740359329,Venous,Spine_vs_HeadNeck,up,101,Venous · Spine / Head-Neck · higher in 1st
HALLMARK_G2M_CHECKPOINT,Hallmark,3,86,388,7481,0.6581323027040379,0.8309852409548076,0.9999020740359329,Venous,Spine_vs_HeadNeck,up,101,Venous · Spine / Head-Neck · higher in 1st
HALLMARK_ESTROGEN_RESPONSE_LATE,Hallmark,4,112,388,7481,0.6737252674673231,0.8402143045118178,0.9999020740359329,Venous,Spine_vs_HeadNeck,up,101,Venous · Spine / Head-Neck · higher in 1st
HALLMARK_GLYCOLYSIS,Hallmark,5,145,388,7481,0.648374410660619,0.8785326160303454,0.9999020740359329,Venous,Spine_vs_HeadNeck,up,101,Venous · Spine / Head-Neck · higher in 1st
HALLMARK_UV_RESPONSE_UP,Hallmark,3,107,388,7481,0.5236697096068575,0.9216547996222959,0.9999020740359329,Venous,Spine_vs_HeadNeck,up,101,Venous · Spine / Head-Neck · higher in 1st
HALLMARK_HYPOXIA,Hallmark,4,137,388,7481,0.5451286973112214,0.9306004463575752,0.9999020740359329,Venous,Spine_vs_HeadNeck,up,101,Venous · Spine / Head-Neck · higher in 1st
HALLMARK_P53_PATHWAY,Hallmark,3,118,388,7481,0.4728521345228985,0.9488525613348475,0.9999020740359329,Venous,Spine_vs_HeadNeck,up,101,Venous · Spine / Head-Neck · higher in 1st
HALLMARK_XENOBIOTIC_METABOLISM,Hallmark,3,142,388,7481,0.38986782610147036,0.9806940728908562,0.9999020740359329,Venous,Spine_vs_HeadNeck,up,101,Venous · Spine / Head-Neck · higher in 1st
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,KEGG,5,324,388,7481,0.2772494604677471,0.9998698202918654,0.9999020740359329,Venous,Spine_vs_HeadNeck,up,101,Venous · Spine / Head-Neck · higher in 1st
KEGG_PATHWAYS_IN_CANCER,KEGG,3,259,388,7481,0.20813036330774135,0.9999020740359329,0.9999020740359329,Venous,Spine_vs_HeadNeck,up,101,Venous · Spine / Head-Neck · higher in 1st
KEGG_STEROID_BIOSYNTHESIS,KEGG,4,5,622,7481,44.37576113377528,2.2117389414780492e-4,0.024550302250406345,Venous,Spine_vs_HeadNeck,down,311,Venous · Spine / Head-Neck · higher in 2nd
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,KEGG,14,65,622,7481,3.0730642825511185,7.372538898672699e-4,0.040917590887633484,Venous,Spine_vs_HeadNeck,down,311,Venous · Spine / Head-Neck · higher in 2nd
KEGG_ENDOMETRIAL_CANCER,KEGG,11,47,622,7481,3.4112025380619633,0.0013085236960576265,0.04841537675413218,Venous,Spine_vs_HeadNeck,down,311,Venous · Spine / Head-Neck · higher in 2nd
KEGG_NON_SMALL_CELL_LUNG_CANCER,KEGG,9,39,622,7481,3.3412098929448315,0.003926096235937072,0.10069033038934247,Venous,Spine_vs_HeadNeck,down,311,Venous · Spine / Head-Neck · higher in 2nd
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY,KEGG,13,70,622,7481,2.5468842570594394,0.0045356004679884,0.10069033038934247,Venous,Spine_vs_HeadNeck,down,311,Venous · Spine / Head-Neck · higher in 2nd
KEGG_PROSTATE_CANCER,KEGG,13,76,622,7481,2.3022934037441365,0.009220354453135477,0.17057655738300634,Venous,Spine_vs_HeadNeck,down,311,Venous · Spine / Head-Neck · higher in 2nd
KEGG_GAP_JUNCTION,KEGG,8,40,622,7481,2.779090957363945,0.015478804023481372,0.24544960665806176,Venous,Spine_vs_HeadNeck,down,311,Venous · Spine / Head-Neck · higher in 2nd
KEGG_PANCREATIC_CANCER,KEGG,10,62,622,7481,2.1386561648745035,0.030600133502501986,0.42218638375673667,Venous,Spine_vs_HeadNeck,down,311,Venous · Spine / Head-Neck · higher in 2nd
KEGG_CHEMOKINE_SIGNALING_PATHWAY,KEGG,18,137,622,7481,1.687755112646262,0.0342786318166402,0.42218638375673667,Venous,Spine_vs_HeadNeck,down,311,Venous · Spine / Head-Neck · higher in 2nd
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,KEGG,8,47,622,7481,2.2780858318823265,0.038034809347453756,0.42218638375673667,Venous,Spine_vs_HeadNeck,down,311,Venous · Spine / Head-Neck · higher in 2nd
