AptName,logFC,AveExpr,t,P.Value,adj.P.Val,B,Target,EntrezGeneSymbol,UniProt,covariate,n_pos,n_neg
seq.15476.6,-2.677233782469228,11.521457446440722,-5.346673874362758,2.1095073746656384e-4,0.5260408223291213,-3.196079196489567,REG3G,REG3G,Q6UW15,hypothermia,8,3
seq.4993.16,-0.6745612556782125,6.41517928354595,-4.406724786523306,9.725877713883341e-4,0.9653804233353229,-3.406172865293641,GSTA3,GSTA3,Q16772,hypothermia,8,3
seq.11986.30,-1.243671695244544,9.558543687384601,-4.2814169682544225,0.001206789530300575,0.9653804233353229,-3.439987752483802,Fc_MOUSE,,Q99LC4,hypothermia,8,3
seq.14268.4,-0.6810304967717303,8.909047658247173,-4.157881700722916,0.001480435816838433,0.9653804233353229,-3.4715280892997438,SRXN1,SRXN1,Q9BYN0,hypothermia,8,3
seq.15375.49,-1.8180443488841211,11.337425206469256,-4.14777681817933,0.0015180112515711342,0.9653804233353229,-3.476615743982215,Carboxypeptidase B1,CPB1,P15086,hypothermia,8,3
seq.19131.184,-0.532110528098424,10.07271524080749,-4.0073678695572195,0.0019050617905981898,0.9653804233353229,-3.5118367770688432,TIAR,TIAL1,Q01085,hypothermia,8,3
seq.21698.11,0.6514725391113735,9.343677190121493,3.9695022487462017,0.0020420534333393885,0.9653804233353229,-3.5239439152807392,Integrin a11b1,ITGA11|ITGB1,Q9UKX5|P05556,hypothermia,8,3
seq.25501.128,-1.4294102271434523,10.629313527901372,-3.963641528980899,0.0020896590051404135,0.9653804233353229,-3.5294978041678493,CLNK,CLNK,Q7Z7G1,hypothermia,8,3
seq.9025.5,0.8663551621891461,9.906938790058147,3.9511937750048047,0.0021310777118077992,0.9653804233353229,-3.5325430491610232,AHSP,AHSP,Q9NZD4,hypothermia,8,3
seq.15613.16,-1.5579676168516374,10.313699583148084,-3.9040757952099217,0.0023191564253658052,0.9653804233353229,-3.5472133781989434,LIPP,PNLIP,P16233,hypothermia,8,3
seq.23519.91,0.5685486554505534,8.90963934589499,3.8954959166187244,0.0023197316769517744,0.9653804233353229,-3.5453628920894276,TM221,TMEM221,A6NGB7,hypothermia,8,3
seq.10832.24,0.7456978016341587,9.483212109878556,3.8911426631119603,0.002362261400607519,0.9653804233353229,-3.549825685349384,B4GT6,B4GALT6,Q9UBX8,hypothermia,8,3
seq.5034.79,-2.4467854369076214,11.412659183584696,-3.8007891742348545,0.0027809122384822634,0.9653804233353229,-3.578645311328132,Trypsin 2,PRSS2,P07478,hypothermia,8,3
seq.6556.5,0.5246726639264565,9.931051516314911,3.7431138620980278,0.0030362383951816094,0.9653804233353229,-3.5923864214626837,ENPP5,ENPP5,Q9UJA9,hypothermia,8,3
seq.21574.106,0.6521868204092174,8.135959784271654,3.727479748010971,0.003165484087558967,0.9653804233353229,-3.6015062180162007,S100A15,S100A7A,Q86SG5,hypothermia,8,3
seq.9590.10,-1.5665768412903716,11.153557111686297,-3.7250523859598808,0.0031791174949850234,0.9653804233353229,-3.602271020023435,COX7R,COX7A2L,O14548,hypothermia,8,3
seq.24664.3,0.4298191184561078,8.778890169378576,3.7043839871226485,0.003252803016030208,0.9653804233353229,-3.6046915222634963,INM02,EMC10,Q5UCC4,hypothermia,8,3
seq.3069.52,1.000053583447658,12.500981219347057,3.6998363894437496,0.0032792542021724273,0.9653804233353229,-3.606144771059189,IgM,IGHM,P01871,hypothermia,8,3
seq.15395.15,0.8672275087865255,9.426772677168179,4.76980639523578,4.158209552418995e-4,0.9991238583269979,-3.6038487046636387,GST M1-1,GSTM1,P09488,male,4,8
seq.6580.29,-4.087721163971367,12.775444179136338,-4.717875815982441,4.553175701639652e-4,0.9991238583269979,-3.61336605198552,Pregnancy zone protein,PZP,P20742,male,4,8
seq.5763.67,0.40092631016722713,8.68753672865089,4.504006192454908,6.536347319018203e-4,0.9991238583269979,-3.6506164930570284,HBD-4,DEFB104A,Q8WTQ1,male,4,8
seq.21911.17,-0.8314053318998013,9.844644286773956,-4.140579116244601,0.0012770880724290294,0.9991238583269979,-3.7297896345334607,NDP,NDP,Q00604,male,4,8
seq.5680.54,1.0576731068366516,9.299873645904778,4.01959475188834,0.0015928881026645843,0.9991238583269979,-3.756775396413741,OBP2B,OBP2B,Q9NPH6,male,4,8
