pathway,collection,n_hit_in_set,n_set,n_hit,n_background,odds_ratio,p_value,padj,draw,contrast,direction,n_sig_hits,label
KEGG_BASAL_CELL_CARCINOMA,KEGG,10,33,1194,7481,2.2999059635114474,0.028687317363492563,0.2772986308404696,AV_Delta,Spine_vs_Laparoscopic,up,759,AV_Delta · Spine / Laparoscopic · higher in 1st
HALLMARK_COAGULATION,Hallmark,32,144,1194,7481,1.518218132330362,0.02888199941845234,0.2772986308404696,AV_Delta,Spine_vs_Laparoscopic,up,759,AV_Delta · Spine / Laparoscopic · higher in 1st
KEGG_PPAR_SIGNALING_PATHWAY,KEGG,12,43,1194,7481,2.0485990803491174,0.03277807444113073,0.2772986308404696,AV_Delta,Spine_vs_Laparoscopic,up,759,AV_Delta · Spine / Laparoscopic · higher in 1st
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION,KEGG,14,53,1194,7481,1.9004574508755754,0.034815033761251384,0.2772986308404696,AV_Delta,Spine_vs_Laparoscopic,up,759,AV_Delta · Spine / Laparoscopic · higher in 1st
HALLMARK_HEDGEHOG_SIGNALING,Hallmark,10,34,1194,7481,2.2037514033300996,0.03501712704207578,0.2772986308404696,AV_Delta,Spine_vs_Laparoscopic,up,759,AV_Delta · Spine / Laparoscopic · higher in 1st
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450,KEGG,11,39,1194,7481,2.0783048532921193,0.03722129273026437,0.2772986308404696,AV_Delta,Spine_vs_Laparoscopic,up,759,AV_Delta · Spine / Laparoscopic · higher in 1st
KEGG_PRION_DISEASES,KEGG,11,39,1194,7481,2.0783048532921193,0.03722129273026437,0.2772986308404696,AV_Delta,Spine_vs_Laparoscopic,up,759,AV_Delta · Spine / Laparoscopic · higher in 1st
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Hallmark,47,210,991,7481,1.9324444368598561,1.582353877806684e-4,0.024368249718222934,Arterial,Laparoscopic_vs_HeadNeck,down,614,Arterial · Laparoscopic / Head-Neck · higher in 2nd
HALLMARK_ALLOGRAFT_REJECTION,Hallmark,41,192,991,7481,1.8115961017224795,0.0011065335133773702,0.07647537414838446,Arterial,Laparoscopic_vs_HeadNeck,down,614,Arterial · Laparoscopic / Head-Neck · higher in 2nd
KEGG_MAPK_SIGNALING_PATHWAY,KEGG,40,191,991,7481,1.7655607561929072,0.0018590274008046211,0.07647537414838446,Arterial,Laparoscopic_vs_HeadNeck,down,614,Arterial · Laparoscopic / Head-Neck · higher in 2nd
KEGG_ECM_RECEPTOR_INTERACTION,KEGG,17,62,991,7481,2.4993163237064735,0.002225930212611764,0.07647537414838446,Arterial,Laparoscopic_vs_HeadNeck,down,614,Arterial · Laparoscopic / Head-Neck · higher in 2nd
HALLMARK_IL6_JAK_STAT3_SIGNALING,Hallmark,25,106,991,7481,2.0474878283749565,0.0024829666931293656,0.07647537414838446,Arterial,Laparoscopic_vs_HeadNeck,down,614,Arterial · Laparoscopic / Head-Neck · higher in 2nd
KEGG_PRION_DISEASES,KEGG,11,39,991,7481,2.5898316583405636,0.010257841608062177,0.2081396483529378,Arterial,Laparoscopic_vs_HeadNeck,down,614,Arterial · Laparoscopic / Head-Neck · higher in 2nd
HALLMARK_COMPLEMENT,Hallmark,38,198,991,7481,1.5773979557251545,0.010782834569955314,0.2081396483529378,Arterial,Laparoscopic_vs_HeadNeck,down,614,Arterial · Laparoscopic / Head-Neck · higher in 2nd
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,19,83,991,7481,1.962524848102972,0.010812449265087678,0.2081396483529378,Arterial,Laparoscopic_vs_HeadNeck,down,614,Arterial · Laparoscopic / Head-Neck · higher in 2nd
