AptName,logFC,AveExpr,t,P.Value,adj.P.Val,B,Target,EntrezGeneSymbol,contrast,draw
seq.13998.26,-0.4500983402368792,10.093711699461403,-0.8848810816502587,0.393780471903295,0.625489701956055,-5.557454976215576,PURA1,ADSS1,Laparoscopic_vs_HeadNeck,Arterial
seq.24914.10,-0.2595980879840596,7.525686072180008,-0.8846476064960137,0.3939014131549151,0.625489701956055,-5.557649944037292,EZH2,EZH2,Laparoscopic_vs_HeadNeck,Arterial
seq.16296.43,-0.15415506638056442,9.538469112035699,-0.884256434450211,0.3939487026307259,0.625489701956055,-5.558129277326994,LGR5,LGR5,Laparoscopic_vs_HeadNeck,Arterial
seq.18821.9,0.5417950533002998,11.748737693524076,0.8845106029530713,0.3939723934790711,0.625489701956055,-5.557764330645909,C4a,C4A|C4B,Laparoscopic_vs_HeadNeck,Arterial
seq.11275.94,-0.7542340637199096,10.674497701031074,-0.8835858847411391,0.3944517106404971,0.6261148145811068,-5.558535991746161,LRP1B,LRP1B,Laparoscopic_vs_HeadNeck,Arterial
seq.10962.46,0.23668999886226594,8.996027740064138,0.8833892418445783,0.3945536896411217,0.6261148145811068,-5.558699996482218,Fc_MOUSE,,Laparoscopic_vs_HeadNeck,Arterial
seq.9276.7,-0.14245709894723824,8.938377925959097,-0.8829676941979477,0.3946172103662503,0.6261148145811068,-5.559204135880358,CBPA2,CPA2,Laparoscopic_vs_HeadNeck,Arterial
seq.6461.54,0.5774268140972989,11.91742900862265,0.8824919447697449,0.39501925664059623,0.6263859854189364,-5.559447960926376,Apo C-III,APOC3,Laparoscopic_vs_HeadNeck,Arterial
seq.5635.66,0.5557660955990968,11.19375502900796,0.8823403852836723,0.39509793107071733,0.6263859854189364,-5.559574231995582,TREM2,TREM2,Laparoscopic_vs_HeadNeck,Arterial
seq.13692.154,-0.2614205948688042,8.941019736986664,-0.8822929603882759,0.39512255150201725,0.6263859854189364,-5.559613739955553,WISP-1,CCN4,Laparoscopic_vs_HeadNeck,Arterial
seq.4851.25,-0.1919856054592568,8.983112912417013,-0.882292018683572,0.39512304039459445,0.6263859854189364,-5.559614524436915,IL-1a,IL1A,Laparoscopic_vs_HeadNeck,Arterial
seq.13726.4,-0.3100106434383214,7.954689537818581,-0.8819653472754817,0.3952926590781153,0.6265221149498688,-5.559886612197729,B7,CD80,Laparoscopic_vs_HeadNeck,Arterial
seq.24323.43,-0.15672885409863824,10.189626805235728,-0.881392724231604,0.3954352452566544,0.6266153505115508,-5.560515870782689,BROX,BROX,Laparoscopic_vs_HeadNeck,Arterial
seq.21491.7,0.29920652857025054,15.061434283950994,0.8809499080210235,0.39573519905934584,0.6269578619574261,-5.560815590792762,VAP-1,AOC3,Laparoscopic_vs_HeadNeck,Arterial
seq.13591.31,-0.172285062573323,8.449339424633969,-0.8799543090641343,0.396277045885831,0.6274018672263953,-5.561619739195484,PRI1,PRIM1,Laparoscopic_vs_HeadNeck,Arterial
seq.10715.5,-0.39454866822088874,9.910715177247601,-0.8798757342665746,0.3963788323051616,0.6274018672263953,-5.56162500079388,Fc_MOUSE,,Laparoscopic_vs_HeadNeck,Arterial
seq.10576.7,0.18066552089478627,9.044554200943514,0.8797545764865085,0.3963945743462185,0.6274018672263953,-5.561772315763961,PXDC2,PLXDC2,Laparoscopic_vs_HeadNeck,Arterial
