AptName,logFC,AveExpr,t,P.Value,adj.P.Val,B,Target,TargetFullName,EntrezGeneSymbol,EntrezGeneID,UniProt,Dilution,direction,sig_nom,sig_fdr
seq.21523.71,0.19423683260636937,8.313534119231491,2.282663419776596,0.03930886268968042,0.496651307527927,-3.7179724598917034,ILKAP,Integrin-linked kinase-associated serine/threonine phosphatase 2C,ILKAP,80895,Q9H0C8,20,Arterial > Venous,TRUE,FALSE
seq.10081.17,0.18804902322553488,8.747130550008047,2.282438513672486,0.03932540464969088,0.496651307527927,-3.7181827142729222,SATB2,DNA-binding protein SATB2,SATB2,23314,Q9UPW6,20,Arterial > Venous,TRUE,FALSE
seq.4666.193,-0.10229010503420724,7.340132299832846,-2.278817189401662,0.03933581741634567,0.496651307527927,-3.718910221686636,No Protein,No protein,,,,20,Venous > Arterial,TRUE,FALSE
seq.12433.8,0.25832562095425105,11.713976064587735,2.281435320145897,0.039382745503821794,0.496651307527927,-3.7189490803802085,ARL11,ADP-ribosylation factor-like protein 11,ARL11,115761,Q969Q4,0.5,Arterial > Venous,TRUE,FALSE
seq.23183.6,0.22368905444930184,10.099296731945152,2.2801038534888933,0.039497509007874666,0.496651307527927,-3.7203650620448627,RNF31,E3 ubiquitin-protein ligase RNF31,RNF31,55072,Q96EP0,20,Arterial > Venous,TRUE,FALSE
seq.21378.7,0.433455160873561,11.080187223071116,2.2800611166311144,0.03950066606599952,0.496651307527927,-3.7204050070346577,PNPT1,"Polyribonucleotide nucleotidyltransferase 1, mitochondrial",PNPT1,87178,Q8TCS8,20,Arterial > Venous,TRUE,FALSE
seq.9581.4,0.19779551802086337,9.200460983184312,2.2770181124149653,0.03972607260996384,0.496651307527927,-3.7232488742065035,PRP6,Pre-mRNA-processing factor 6,PRPF6,24148,O94906,20,Arterial > Venous,TRUE,FALSE
seq.9317.4,0.20836312391530518,9.241102580705077,2.274344731345787,0.03992510156515297,0.496651307527927,-3.725746738415748,LRC25,Leucine-rich repeat-containing protein 25,LRRC25,126364,Q8N386,20,Arterial > Venous,TRUE,FALSE
seq.19154.41,0.31440614493113805,12.225180537321044,2.273853016426954,0.039961811307486585,0.496651307527927,-3.726206112238308,Protease nexin I,Glia-derived nexin,SERPINE2,5270,P07093,0.5,Arterial > Venous,TRUE,FALSE
seq.22033.7,-0.11816154423541365,8.221814060731338,-2.2702422046604847,0.03997402047241666,0.496651307527927,-3.726960520502299,WASP,Wiskott-Aldrich syndrome protein,WAS,7454,P42768,20,Venous > Arterial,TRUE,FALSE
seq.22815.4,0.21244566377989585,11.392611135384195,2.2703375447363334,0.04004365063754821,0.496651307527927,-3.727651489918738,TRI40,Tripartite motif-containing protein 40,TRIM40,135644,Q6P9F5,20,Arterial > Venous,TRUE,FALSE
seq.22526.81,0.2793818819758496,10.419372079158553,2.272245441735055,0.04008204979227809,0.496651307527927,-3.7277078263869337,PDHB,Pyruvate dehydrogenase E1 component beta subunit,PDHB,5162,P11177,0.5,Arterial > Venous,TRUE,FALSE
seq.21329.66,0.25237525475292183,10.683743923143652,2.2718517464199524,0.04011154823022559,0.496651307527927,-3.728075566688118,PHOP2,Pyridoxal phosphate phosphatase PHOSPHO2,PHOSPHO2,493911,Q8TCD6,0.5,Arterial > Venous,TRUE,FALSE
seq.3030.3,0.16443266308270113,11.858347486734717,2.266870615906687,0.040227618414693654,0.496651307527927,-3.7301242019533802,DC-SIGNR,C-type lectin domain family 4 member M,CLEC4M,10332,Q9H2X3,0.005,Arterial > Venous,TRUE,FALSE
seq.5478.50,-0.24048525336221804,8.190059414284589,-2.267970716322795,0.04040344104246457,0.496651307527927,-3.7317001029143806,PSMA,Glutamate carboxypeptidase 2,FOLH1,2346,Q04609,20,Venous > Arterial,TRUE,FALSE
seq.20444.12,-0.5557457770028945,11.299619328317753,-2.263637546614107,0.04073170689928133,0.496651307527927,-3.735745531418039,TPPP3,Tubulin polymerization-promoting protein family member 3,TPPP3,51673,Q9BW30,20,Venous > Arterial,TRUE,FALSE
seq.17404.5,0.22750215709040844,13.14407613942038,2.259065748033429,0.04082049889225355,0.496651307527927,-3.7374442338837093,ARL5B,ADP-ribosylation factor-like protein 5B,ARL5B,221079,Q96KC2,0.5,Arterial > Venous,TRUE,FALSE
seq.18235.16,-0.20726202089732393,11.53212450951314,-2.259313210303377,0.04082780124454049,0.496651307527927,-3.737471999423372,PGP,Glycerol-3-phosphate phosphatase,PGP,283871,A6NDG6,20,Venous > Arterial,TRUE,FALSE
seq.8465.52,-0.3451847544113242,9.749858846474822,-2.2620251838160224,0.040854494820875754,0.496651307527927,-3.7372504544907796,Cathepsin H,Cathepsin H,CTSH,1512,P09668,20,Venous > Arterial,TRUE,FALSE
seq.23350.66,0.3171874615982232,8.921775383271953,2.2608105303502732,0.040947226013519786,0.496651307527927,-3.7383840353253333,F118B,Protein FAM118B,FAM118B,79607,Q9BPY3,20,Arterial > Venous,TRUE,FALSE
