AptName,logFC,AveExpr,t,P.Value,adj.P.Val,B,Target,EntrezGeneSymbol,UniProt,covariate,draw,n_pos,n_neg
seq.8323.163,0.9264547861893025,10.119404964083481,3.460208762536631,0.005737657052189209,0.7783078198701454,-4.299776324353075,TFF3,TFF3,Q07654,hyperglycemia,Arterial,2,8
seq.12970.35,-0.6630297655624793,7.768519711853746,-3.4573647995928085,0.005811698667603247,0.7783078198701454,-4.300896154708243,STAU2,STAU2,Q9NUL3,hyperglycemia,Arterial,2,8
seq.23639.93,-0.9993053030485037,8.612426447297445,-9.226048445645569,1.0328252767856937e-6,0.007726565895633774,5.397844190308078,PEPL1,NPEPL1,Q8NDH3,hypothermia,Arterial,8,3
seq.14148.2,-1.6311121709150143,11.09111522171299,-8.581276908381575,2.178050043992325e-6,0.008146996189553292,4.822749941945579,UCRP,ISG15,P05161,hypothermia,Arterial,8,3
seq.24640.63,-1.0136700065831799,8.461681264520946,-7.959551769732063,4.658498869737778e-6,0.011616743348169438,4.217288228803591,HEY1,HEY1,Q9Y5J3,hypothermia,Arterial,8,3
seq.2991.9,1.983201631490754,11.190834086198258,7.247995776058983,1.1993843517771743e-5,0.022431485839112603,3.438637548182246,IL-1 sRI,IL1R1,P14778,hypothermia,Arterial,8,3
seq.18921.30,0.7095662090672737,7.763973187464413,6.706235802896639,2.471469804132339e-5,0.036978131209428056,2.8270071260868193,PHEX,PHEX,P78562,hypothermia,Arterial,8,3
seq.10832.24,1.2918005061024025,9.372706257303573,6.437966546836918,3.793954899291225e-5,0.04240658393835,2.4592188273249356,B4GT6,B4GALT6,Q9UBX8,hypothermia,Arterial,8,3
seq.5196.7,-0.8462946405261518,9.307925251446525,-6.375526182040286,3.968000101168961e-5,0.04240658393835,2.4190405753373643,NMT1,NMT1,P30419,hypothermia,Arterial,8,3
seq.15669.7,-1.1226531633492438,10.276728164017555,-6.080879612965458,6.12571655730711e-5,0.05728310695651811,2.040278522200028,BRAF1,BRAF,P15056,hypothermia,Arterial,8,3
seq.7218.87,1.4842977419427286,11.335010172844251,5.866431936904653,8.465941291371246e-5,0.05957257358340174,1.755407474164194,AT1B2,ATP1B2,P14415,hypothermia,Arterial,8,3
seq.8364.74,0.8245861766043103,9.164454855853842,5.859268516473564,8.558883242823032e-5,0.05957257358340174,1.7457568795198952,UST,UST,Q9Y2C2,hypothermia,Arterial,8,3
seq.8620.56,1.477350255154536,11.223928743998835,5.756593584769641,1.0016724302975185e-4,0.05957257358340174,1.6064728644832416,kallikrein 14,KLK14,Q9P0G3,hypothermia,Arterial,8,3
seq.22148.135,-1.1491611273943736,10.734881188850942,-5.753729584815553,1.0060980538305758e-4,0.05957257358340174,1.602561954580759,FOXP3,FOXP3,Q9BZS1,hypothermia,Arterial,8,3
seq.2711.6,1.3881748782555043,11.269187743536182,5.735214016076153,1.0352138171156565e-4,0.05957257358340174,1.5772444540862898,CNTFR alpha,CNTFR,P26992,hypothermia,Arterial,8,3
seq.4246.40,2.219614945721628,11.281961183144352,5.6351016442689295,1.254091434193828e-4,0.06648005108017871,1.4094666453453781,NCAM-L1,L1CAM,P32004,hypothermia,Arterial,8,3
seq.12549.33,1.5038714734773624,10.610480461795657,5.5956874789464,1.3329778989475745e-4,0.06648005108017871,1.355115885822146,PTGD2,HPGDS,O60760,hypothermia,Arterial,8,3
seq.9231.23,1.4541453751926547,9.827348458573955,5.495210576088746,1.5588092184560187e-4,0.06817000796065041,1.2153633585547947,IMPA3,BPNT2,Q9NX62,hypothermia,Arterial,8,3
seq.9772.153,0.8193942101169733,7.739758378364942,5.4255641962947125,1.6875839298211733e-4,0.06817000796065041,1.1416109043238336,NLGN2,NLGN2,Q8NFZ4,hypothermia,Arterial,8,3
seq.5457.5,1.178766200302957,10.315199351765921,5.399047475472738,1.785486283401228e-4,0.06817000796065041,1.0923540604547775,COLEC12,COLEC12,Q5KU26,hypothermia,Arterial,8,3
seq.4866.59,1.8215087948806916,12.183182074718895,5.365905802313091,1.897615157479951e-4,0.06817000796065041,1.0384732220122936,TrkB,NTRK2,Q16620,hypothermia,Arterial,8,3
seq.22578.17,1.6021239177815467,11.797333543232712,5.3511914575820905,1.9066808311974485e-4,0.06817000796065041,1.0324193880508288,ROBO2,ROBO2,Q9HCK4,hypothermia,Arterial,8,3
seq.11360.39,-1.9357231364374892,13.599023262361468,-5.871193668891965,5.9062726426171106e-5,0.2261114175552447,0.5878965410920598,RRM1,RRM1,P23921,male,Arterial,4,8
seq.5680.54,1.6307197363569386,9.092548219822772,5.876480006064983,6.044951679060144e-5,0.2261114175552447,0.5691733953838449,OBP2B,OBP2B,Q9NPH6,male,Arterial,4,8
